registro;timestamp;humedad_pct;humedad_raw;estado_suelo;temperatura_c;notas
125;T+07:30:01;100;0;HUMEDO;31.69;
126;T+07:35:01;100;0;HUMEDO;31.81;
127;T+07:40:01;100;0;HUMEDO;31.75;
128;T+07:45:01;100;0;HUMEDO;31.87;
129;T+07:50:01;100;0;HUMEDO;31.87;
130;T+07:55:01;100;0;HUMEDO;31.94;
131;T+08:00:01;100;0;HUMEDO;31.94;
132;T+08:05:01;100;0;HUMEDO;31.94;
133;T+08:10:01;100;0;HUMEDO;31.87;
134;T+08:15:01;100;0;HUMEDO;32.00;
135;T+08:20:01;100;0;HUMEDO;32.00;
136;T+08:25:01;100;0;HUMEDO;32.06;
137;T+08:30:01;100;0;HUMEDO;32.13;
138;T+08:35:01;100;0;HUMEDO;32.00;
139;T+08:40:01;100;0;HUMEDO;32.19;
140;T+08:45:01;100;0;HUMEDO;32.13;
141;T+08:50:01;100;0;HUMEDO;32.19;
142;T+08:55:01;100;0;HUMEDO;32.31;
143;T+09:00:01;100;0;HUMEDO;32.31;
144;T+09:05:01;100;0;HUMEDO;32.31;
145;T+09:10:01;100;0;HUMEDO;32.19;
146;T+09:15:01;100;0;HUMEDO;32.38;
147;T+09:20:01;100;0;HUMEDO;32.38;
148;T+09:25:01;100;0;HUMEDO;32.25;
149;T+09:30:01;100;0;HUMEDO;32.31;
150;T+09:35:01;100;0;HUMEDO;32.38;
151;T+09:40:01;100;0;HUMEDO;32.44;
152;T+09:45:01;100;0;HUMEDO;32.50;
153;T+09:50:01;100;0;HUMEDO;32.38;
154;T+09:55:01;100;0;HUMEDO;32.38;
155;T+10:00:01;100;0;HUMEDO;32.50;
156;T+10:05:01;100;0;HUMEDO;32.38;
157;T+10:10:01;100;0;HUMEDO;32.50;
158;T+10:15:01;100;0;HUMEDO;32.56;
159;T+10:20:01;100;0;HUMEDO;32.69;
160;T+10:25:01;100;0;HUMEDO;32.56;
161;T+10:30:01;100;0;HUMEDO;32.63;
162;T+10:35:01;100;0;HUMEDO;32.69;
163;T+10:40:01;100;0;HUMEDO;32.50;
164;T+10:45:01;100;0;HUMEDO;32.69;
165;T+10:50:01;100;0;HUMEDO;32.69;
166;T+10:55:01;100;0;HUMEDO;32.63;
167;T+11:00:01;100;0;HUMEDO;32.75;
168;T+11:05:01;100;0;HUMEDO;32.63;
169;T+11:10:01;100;0;HUMEDO;32.69;
170;T+11:15:01;100;0;HUMEDO;32.63;
171;T+11:20:01;100;0;HUMEDO;32.81;
172;T+11:25:01;100;0;HUMEDO;32.75;
173;T+11:30:01;100;0;HUMEDO;32.88;
174;T+11:35:01;100;0;HUMEDO;32.75;
175;T+11:40:01;100;0;HUMEDO;32.75;
176;T+11:45:01;100;0;HUMEDO;32.75;
177;T+11:50:01;100;0;HUMEDO;32.81;
178;T+11:55:01;100;0;HUMEDO;32.94;
179;T+12:00:01;100;0;HUMEDO;32.81;
180;T+12:05:01;100;0;HUMEDO;32.88;
181;T+12:10:01;100;0;HUMEDO;32.81;
182;T+12:15:01;100;0;HUMEDO;32.94;
